"riding_code","current_party","current_projection","date"
10001,"LPC","LPC safe",2021-08-16
10002,"LPC","LPC likely",2021-08-16
10003,"LPC","LPC safe",2021-08-16
10004,"LPC","LPC likely",2021-08-16
10005,"LPC","LPC safe",2021-08-16
10006,"NDP","NDP leaning",2021-08-16
10007,"LPC","LPC safe",2021-08-16
11001,"LPC","LPC safe",2021-08-16
11002,"LPC","LPC safe",2021-08-16
11003,"LPC","LPC likely",2021-08-16
11004,"LPC","LPC safe",2021-08-16
12001,"LPC","LPC likely",2021-08-16
12002,"LPC","LPC likely",2021-08-16
12003,"LPC","LPC leaning",2021-08-16
12004,"LPC","LPC likely",2021-08-16
12005,"LPC","Toss up LPC/NDP",2021-08-16
12006,"LPC","LPC safe",2021-08-16
12007,"LPC","LPC safe",2021-08-16
12008,"LPC","LPC likely",2021-08-16
12009,"LPC","LPC safe",2021-08-16
12010,"LPC","Toss up LPC/CPC",2021-08-16
12011,"CPC","Toss up LPC/CPC",2021-08-16
13001,"LPC","LPC safe",2021-08-16
13002,"LPC","LPC safe",2021-08-16
13003,"LPC","LPC leaning",2021-08-16
13004,"CPC","CPC leaning",2021-08-16
13005,"LPC","LPC safe",2021-08-16
13006,"LPC","Toss up LPC/CPC",2021-08-16
13007,"LPC","LPC safe",2021-08-16
13008,"CPC","CPC likely",2021-08-16
13009,"LPC","LPC likely",2021-08-16
13010,"CPC","CPC safe",2021-08-16
24001,"BQ","Toss up LPC/BQ",2021-08-16
24002,"BQ","BQ leaning",2021-08-16
24003,"LPC","LPC safe",2021-08-16
24004,"LPC","LPC safe",2021-08-16
24005,"LPC","LPC leaning",2021-08-16
24006,"BQ","BQ leaning",2021-08-16
24007,"CPC","CPC leaning",2021-08-16
24008,"BQ","Toss up LPC/CPC/BQ",2021-08-16
24009,"BQ","BQ safe",2021-08-16
24010,"CPC","CPC safe",2021-08-16
24011,"BQ","BQ safe",2021-08-16
24012,"BQ","BQ likely",2021-08-16
24013,"BQ","Toss up LPC/BQ",2021-08-16
24014,"BQ","BQ likely",2021-08-16
24015,"LPC","LPC safe",2021-08-16
24016,"LPC","LPC likely",2021-08-16
24017,"LPC","LPC safe",2021-08-16
24018,"BQ","BQ leaning",2021-08-16
24019,"CPC","CPC safe",2021-08-16
24020,"BQ","Toss up CPC/BQ",2021-08-16
24021,"LPC","LPC leaning",2021-08-16
24022,"CPC","CPC likely",2021-08-16
24023,"LPC","LPC likely",2021-08-16
24024,"LPC","LPC safe",2021-08-16
24025,"BQ","BQ safe",2021-08-16
24026,"LPC","LPC likely",2021-08-16
24027,"LPC","LPC safe",2021-08-16
24028,"LPC","LPC leaning",2021-08-16
24029,"LPC","LPC safe",2021-08-16
24030,"LPC","LPC safe",2021-08-16
24031,"BQ","BQ safe",2021-08-16
24032,"BQ","BQ likely",2021-08-16
24033,"BQ","BQ leaning",2021-08-16
24034,"BQ","Toss up LPC/BQ",2021-08-16
24035,"BQ","BQ likely",2021-08-16
24036,"LPC","LPC safe",2021-08-16
24037,"LPC","LPC safe",2021-08-16
24038,"BQ","BQ leaning",2021-08-16
24039,"LPC","LPC likely",2021-08-16
24040,"LPC","LPC safe",2021-08-16
24041,"LPC","LPC likely",2021-08-16
24042,"CPC","CPC safe",2021-08-16
24043,"BQ","Toss up LPC/BQ",2021-08-16
24044,"LPC","LPC safe",2021-08-16
24045,"CPC","CPC safe",2021-08-16
24046,"BQ","BQ safe",2021-08-16
24047,"CPC","CPC safe",2021-08-16
24048,"BQ","BQ safe",2021-08-16
24049,"BQ","Toss up LPC/BQ",2021-08-16
24050,"BQ","BQ safe",2021-08-16
24051,"CPC","CPC safe",2021-08-16
24052,"LPC","LPC safe",2021-08-16
24053,"LPC","LPC safe",2021-08-16
24054,"LPC","LPC safe",2021-08-16
24055,"LPC","LPC safe",2021-08-16
24056,"LPC","LPC safe",2021-08-16
24057,"LPC","LPC safe",2021-08-16
24058,"CPC","CPC safe",2021-08-16
24059,"LPC","LPC leaning",2021-08-16
24060,"BQ","BQ likely",2021-08-16
24061,"CPC","CPC safe",2021-08-16
24062,"BQ","Toss up LPC/BQ",2021-08-16
24063,"BQ","BQ safe",2021-08-16
