riding_code,current_party,current_projection,date
10001,LPC,LPC likely,2021-08-30
10002,LPC,LPC leaning,2021-08-30
10003,LPC,LPC likely,2021-08-30
10004,LPC,LPC leaning,2021-08-30
10005,LPC,LPC safe,2021-08-30
10006,NDP,NDP likely,2021-08-30
10007,LPC,LPC likely,2021-08-30
11001,LPC,LPC safe,2021-08-30
11002,LPC,LPC safe,2021-08-30
11003,LPC,LPC leaning,2021-08-30
11004,LPC,LPC likely,2021-08-30
12001,Tos,Toss up LPC/CPC,2021-08-30
12002,LPC,LPC leaning,2021-08-30
12003,CPC,CPC leaning,2021-08-30
12004,LPC,LPC likely,2021-08-30
12005,Tos,Toss up LPC/NDP,2021-08-30
12006,LPC,LPC safe,2021-08-30
12007,LPC,LPC likely,2021-08-30
12008,LPC,LPC likely,2021-08-30
12009,LPC,LPC leaning,2021-08-30
12010,CPC,CPC leaning,2021-08-30
12011,CPC,CPC leaning,2021-08-30
13001,LPC,LPC safe,2021-08-30
13002,LPC,LPC safe,2021-08-30
13003,CPC,CPC leaning,2021-08-30
13004,CPC,CPC safe,2021-08-30
13005,LPC,LPC safe,2021-08-30
13006,CPC,CPC leaning,2021-08-30
13007,LPC,LPC safe,2021-08-30
13008,CPC,CPC safe,2021-08-30
13009,Tos,Toss up LPC/CPC,2021-08-30
13010,CPC,CPC safe,2021-08-30
24001,Tos,Toss up LPC/BQ,2021-08-30
24002,Tos,Toss up LPC/BQ,2021-08-30
24003,LPC,LPC safe,2021-08-30
24004,LPC,LPC safe,2021-08-30
24005,LPC,LPC likely,2021-08-30
24006,BQ ,BQ leaning,2021-08-30
24007,Tos,Toss up CPC/PPC,2021-08-30
24008,Tos,Toss up LPC/CPC/BQ,2021-08-30
24009,BQ ,BQ safe,2021-08-30
24010,CPC,CPC safe,2021-08-30
24011,BQ ,BQ likely,2021-08-30
24012,BQ ,BQ leaning,2021-08-30
24013,Tos,Toss up LPC/BQ,2021-08-30
24014,BQ ,BQ likely,2021-08-30
24015,LPC,LPC safe,2021-08-30
24016,LPC,LPC likely,2021-08-30
24017,LPC,LPC safe,2021-08-30
24018,BQ ,BQ leaning,2021-08-30
24019,CPC,CPC safe,2021-08-30
24020,CPC,CPC leaning,2021-08-30
24021,LPC,LPC likely,2021-08-30
24022,CPC,CPC likely,2021-08-30
24023,LPC,LPC likely,2021-08-30
24024,LPC,LPC safe,2021-08-30
24025,BQ ,BQ safe,2021-08-30
24026,LPC,LPC likely,2021-08-30
24027,LPC,LPC safe,2021-08-30
24028,LPC,LPC likely,2021-08-30
24029,LPC,LPC safe,2021-08-30
24030,LPC,LPC safe,2021-08-30
24031,BQ ,BQ safe,2021-08-30
24032,BQ ,BQ leaning,2021-08-30
24033,BQ ,BQ leaning,2021-08-30
24034,Tos,Toss up LPC/BQ,2021-08-30
24035,BQ ,BQ leaning,2021-08-30
24036,LPC,LPC safe,2021-08-30
24037,LPC,LPC safe,2021-08-30
24038,Tos,Toss up LPC/BQ,2021-08-30
24039,LPC,LPC likely,2021-08-30
24040,LPC,LPC safe,2021-08-30
24041,LPC,LPC likely,2021-08-30
24042,CPC,CPC safe,2021-08-30
24043,Tos,Toss up LPC/BQ,2021-08-30
24044,LPC,LPC safe,2021-08-30
24045,CPC,CPC safe,2021-08-30
24046,BQ ,BQ safe,2021-08-30
24047,CPC,CPC safe,2021-08-30
24048,BQ ,BQ likely,2021-08-30
24049,Tos,Toss up LPC/BQ,2021-08-30
24050,BQ ,BQ safe,2021-08-30
24051,CPC,CPC safe,2021-08-30
24052,LPC,LPC safe,2021-08-30
24053,LPC,LPC safe,2021-08-30
24054,LPC,LPC safe,2021-08-30
24055,LPC,LPC safe,2021-08-30
24056,LPC,LPC safe,2021-08-30
24057,LPC,LPC safe,2021-08-30
24058,CPC,CPC safe,2021-08-30
24059,LPC,LPC likely,2021-08-30
24060,BQ ,BQ likely,2021-08-30
24061,CPC,CPC safe,2021-08-30
24062,Tos,Toss up LPC/BQ,2021-08-30
24063,BQ ,BQ safe,2021-08-30
24064,NDP,NDP likely,2021-08-30
24065,LPC,LPC safe,2021-08-30
24066,BQ ,BQ likely,2021-08-30
24067,Tos,Toss up LPC/BQ,2021-08-30
24068,LPC,LPC safe,2021-08-30
24069,LPC,LPC safe,2021-08-30
24070,LPC,LPC likely,2021-08-30
24071,BQ ,BQ leaning,2021-08-30
24072,LPC,LPC leaning,2021-08-30
24073,LPC,LPC leaning,2021-08-30
24074,LPC,LPC safe,2021-08-30
24075,BQ ,BQ likely,2021-08-30
24076,Tos,Toss up LPC/CPC/BQ,2021-08-30
24077,LPC,LPC safe,2021-08-30
24078,LPC,LPC safe,2021-08-30
35001,LPC,LPC safe,2021-08-30
35002,NDP,NDP safe,2021-08-30
35003,CPC,CPC likely,2021-08-30
35004,CPC,CPC safe,2021-08-30
35005,CPC,CPC safe,2021-08-30
35006,CPC,CPC leaning,2021-08-30
35007,LPC,LPC safe,2021-08-30
35008,LPC,LPC likely,2021-08-30
35009,LPC,LPC leaning,2021-08-30
35010,LPC,LPC likely,2021-08-30
35011,LPC,LPC likely,2021-08-30
35012,LPC,LPC safe,2021-08-30
35013,CPC,CPC safe,2021-08-30
35014,CPC,CPC safe,2021-08-30
35015,LPC,LPC leaning,2021-08-30
35016,Tos,Toss up LPC/CPC,2021-08-30
35017,CPC,CPC safe,2021-08-30
35018,Tos,Toss up LPC/NDP,2021-08-30
35019,LPC,LPC safe,2021-08-30
35020,Tos,Toss up LPC/CPC,2021-08-30
35021,LPC,LPC likely,2021-08-30
35022,CPC,CPC safe,2021-08-30
35023,CPC,CPC safe,2021-08-30
35024,LPC,LPC leaning,2021-08-30
35025,CPC,CPC safe,2021-08-30
35026,CPC,CPC leaning,2021-08-30
35027,LPC,LPC leaning,2021-08-30
35028,LPC,LPC likely,2021-08-30
35029,LPC,LPC safe,2021-08-30
35030,CPC,CPC likely,2021-08-30
35031,Tos,Toss up LPC/CPC,2021-08-30
35032,LPC,LPC safe,2021-08-30
35033,CPC,CPC safe,2021-08-30
35034,CPC,CPC safe,2021-08-30
35035,NDP,NDP safe,2021-08-30
35036,Tos,Toss up LPC/NDP,2021-08-30
35037,NDP,NDP safe,2021-08-30
35038,LPC,LPC likely,2021-08-30
35039,CPC,CPC likely,2021-08-30
35040,CPC,CPC safe,2021-08-30
35041,CPC,CPC leaning,2021-08-30
35042,CPC,CPC leaning,2021-08-30
35043,CPC,CPC likely,2021-08-30
35044,LPC,LPC likely,2021-08-30
35045,LPC,LPC leaning,2021-08-30
35046,CPC,CPC likely,2021-08-30
35047,CPC,CPC leaning,2021-08-30
35048,CPC,CPC safe,2021-08-30
35049,CPC,CPC safe,2021-08-30
35050,CPC,CPC safe,2021-08-30
35051,NDP,NDP safe,2021-08-30
35052,LPC,LPC leaning,2021-08-30
35053,LPC,LPC leaning,2021-08-30
35054,CPC,CPC likely,2021-08-30
35055,LPC,LPC leaning,2021-08-30
35056,CPC,CPC safe,2021-08-30
35057,Tos,Toss up LPC/CPC,2021-08-30
35058,LPC,LPC likely,2021-08-30
35059,LPC,LPC leaning,2021-08-30
35060,LPC,LPC likely,2021-08-30
35061,Tos,Toss up LPC/CPC,2021-08-30
35062,LPC,LPC safe,2021-08-30
35063,LPC,LPC leaning,2021-08-30
